0.33	35	0.2	0
0.33	35	0.2	0.005
0.33	34.9	0.2	0.01
0.33	35.4	0.2	0.015
0.33	35.4	0.2	0.02
0.33	35.2	0.2	0.025
0.33	35	0.2	0.03
0.33	34.7	0.2	0.035
0.33	34.5	0.2	0.04
0.33	34	0.2	0.045
0.33	33.7	0.2	0.05
0.33	33	0.2	0.055
0.33	32.1	0.2	0.06
0.33	29.4	0.2	0.065
0.33	25.5	0.2	0.07
0.33	20	0.2	0.075
0.33	12	0.2	0.08
0.33	7.3	0.2	0.085
0.33	4.8	0.2	0.09
0.33	3.5	0.2	0.095
0.66	71	0.2	0
0.66	71	0.2	0.005
0.66	70.9	0.2	0.01
0.66	70.1	0.2	0.015
0.66	71.1	0.2	0.02
0.66	71	0.2	0.025
0.66	71.2	0.2	0.03
0.66	70.5	0.2	0.035
0.66	70	0.2	0.04
0.66	69	0.2	0.045
0.66	68.3	0.2	0.05
0.66	67	0.2	0.055
0.66	64.1	0.2	0.06
0.66	59.9	0.2	0.065
0.66	52.6	0.2	0.07
0.66	40.5	0.2	0.075
0.66	24.5	0.2	0.08
0.66	14.9	0.2	0.085
0.66	9.1	0.2	0.09
0.66	6.5	0.2	0.095
1	107.5	0.4	0
1	107.5	0.4	0.005
1	107.5	0.4	0.01
1	107.5	0.4	0.015
1	107.5	0.4	0.02
1	107.5	0.4	0.025
1	107	0.4	0.03
1	106	0.4	0.035
1	105.3	0.4	0.04
1	104.3	0.4	0.045
1	103.3	0.4	0.05
1	101	0.4	0.055
1	96.5	0.4	0.06
1	90	0.4	0.065
1	79.5	0.4	0.07
1	56	0.4	0.075
1	34.5	0.4	0.08
1	21.5	0.4	0.085
1	13	0.4	0.09
1	8.8	0.4	0.095
1.5	161	0.4	0
1.5	161	0.4	0.005
1.5	161	0.4	0.01
1.5	161	0.4	0.015
1.5	161	0.4	0.02
1.5	160.8	0.4	0.025
1.5	160	0.4	0.03
1.5	158.5	0.4	0.035
1.5	158	0.4	0.04
1.5	156.5	0.4	0.045
1.5	155	0.4	0.05
1.5	151	0.4	0.055
1.5	146	0.4	0.06
1.5	133	0.4	0.065
1.5	115	0.4	0.07
1.5	87	0.4	0.075
1.5	51	0.4	0.08
1.5	29	0.4	0.085
1.5	19.5	0.4	0.09
1.5	13.5	0.4	0.095
2	215	0.4	0
2	214	0.4	0.005
2	213	0.4	0.01
2	213	0.4	0.015
2	213	0.4	0.02
2	212.8	0.4	0.025
2	212	0.4	0.03
2	210.5	0.4	0.035
2	208.5	0.4	0.04
2	207.5	0.4	0.045
2	205	0.4	0.05
2	200	0.4	0.055
2	192.5	0.4	0.06
2	173	0.4	0.065
2	146.5	0.4	0.07
2	100	0.4	0.075
2	58	0.4	0.08
2	35	0.4	0.085
2	22.5	0.4	0.09
2	15.5	1	0.095
2.5	268	0.4	0
2.5	267.5	0.4	0.005
2.5	266.5	0.4	0.01
2.5	266	0.4	0.015
2.5	265.5	0.4	0.02
2.5	264.4	0.4	0.025
2.5	263	0.4	0.03
2.5	261	0.4	0.035
2.5	259	0.4	0.04
2.5	256.5	0.4	0.045
2.5	252	0.4	0.05
2.5	245	0.4	0.055
2.5	235	0.4	0.06
2.5	210	0.4	0.065
2.5	190	0.4	0.07
2.5	140	0.4	0.075
2.5	88	0.4	0.08
2.5	53	0.4	0.085
2.5	34	0.4	0.09
2.5	23	1	0.095
3	318	0.4	0
3	317.5	0.4	0.005
3	317.5	0.4	0.01
3	317.5	0.4	0.015
3	317.5	0.4	0.02
3	317	0.4	0.025
3	316	0.4	0.03
3	315	0.4	0.035
3	312	0.4	0.04
3	309	0.4	0.045
3	307	0.4	0.05
3	303	0.4	0.055
3	296	0.4	0.06
3	282	0.4	0.065
3	258.5	0.4	0.07
3	209	0.4	0.075
3	152.5	0.4	0.08
3	92	0.4	0.085
3	56.5	0.4	0.09
3	36	1	0.095
-0.5	-53.8	0.2	0
-0.5	-53.7	0.2	0.005
-0.5	-53.5	0.2	0.01
-0.5	-53.5	0.2	0.015
-0.5	-53.5	0.2	0.02
-0.5	-53.7	0.2	0.025
-0.5	-54	0.2	0.03
-0.5	-53.6	0.2	0.035
-0.5	-52.9	0.2	0.04
-0.5	-52.4	0.2	0.045
-0.5	-51.6	0.2	0.05
-0.5	-50.6	0.2	0.055
-0.5	-48.7	0.2	0.06
-0.5	-45.5	0.2	0.065
-0.5	-40.8	0.2	0.07
-0.5	-32.3	0.2	0.075
-0.5	-20.2	0.2	0.08
-0.5	-12.6	0.2	0.085
-0.5	-7.9	0.2	0.09
-0.5	-5.4	0.2	0.095
-1	-106.7	0.4	0
-1	-106.1	0.4	0.005
-1	-106	0.4	0.01
-1	-106	0.4	0.015
-1	-106	0.4	0.02
-1	-107	0.4	0.025
-1	-105.8	0.4	0.03
-1	-104.7	0.4	0.035
-1	-104.1	0.4	0.04
-1	-103.1	0.4	0.045
-1	-103	0.4	0.05
-1	-101.5	0.4	0.055
-1	-97.7	0.4	0.06
-1	-92.1	0.4	0.065
-1	-82.4	0.4	0.07
-1	-67.4	0.4	0.075
-1	-36.2	0.4	0.08
-1	-23.7	0.4	0.085
-1	-13.5	0.4	0.09
-1	-9.5	0.4	0.095
-1.5	-160	0.4	0
-1.5	-160	0.4	0.005
-1.5	-160	0.4	0.01
-1.5	-160.4	0.4	0.015
-1.5	-160.6	0.4	0.02
-1.5	-160.4	0.4	0.025
-1.5	-159.4	0.4	0.03
-1.5	-158.6	0.4	0.035
-1.5	-157.6	0.4	0.04
-1.5	-155.9	0.4	0.045
-1.5	-154.3	0.4	0.05
-1.5	-150.6	0.4	0.055
-1.5	-144.6	0.4	0.06
-1.5	-133.8	0.4	0.065
-1.5	-114.6	0.4	0.07
-1.5	-85.9	0.4	0.075
-1.5	-58.4	0.4	0.08
-1.5	-35.2	0.4	0.085
-1.5	-18.1	0.4	0.09
-1.5	-14.1	0.4	0.095
